성격,personality
연예인,entertainer
귀,ear
마음,heart
목소리,voice
무릎,knee
발,foot
손,hand
어깨,shoulder
얼굴,face
이마,forehead
입,mouth
코,nose
허리,waist
아나운서,newscaster
교육학,educational studies
경주,Gyeongju (a name of the city in Korea)
잘생기다,to be good-looking
도와주다,to help
착하다,to be good-natured or nice
날씬하다,to be slim
똑똑하다,to be smart
어리다,to be young
귀엽다,to be cute
뚱뚱하다,to be fat
지루하다,to be boring or tedious
목소리가 좋다,to have a good voice
안경을 끼다 ,to wear glasses
성격이 좋다,to have a good personality
성격이 밝다,to have a bright personality
안경,glasses
모습,appearance
끼다,to put on
두다,to put or place
